pays,region,nom,type,note,lien
Canada,Montréal,Hyatt Centric Montreal,Hôtel,,https://www.google.com/maps/place/Hyatt+Centric+Montreal/data=!4m2!3m1!1s0x4cc91a54c1b6d571:0xda8c5ff6e6344e87
Canada,Montréal,Hôtel William Gray,Hôtel,,https://www.google.com/maps/place/H%C3%B4tel+William+Gray/data=!4m2!3m1!1s0x4cc91a56f332c441:0xc62f60004e19c33e
Canada,Montréal,"InterContinental Montreal, an IHG Hotel",Hôtel,,"https://www.google.com/maps/place/InterContinental+Montreal,+an+IHG+Hotel/data=!4m2!3m1!1s0x4cc91a5a487ea26b:0x15df66dbf31d48a"
Canada,Montréal,Jacopo,Restaurant,,https://www.google.com/maps/place/Jacopo/data=!4m2!3m1!1s0x4cc91b56bc71e413:0xf7f6e57bb083e95b
Canada,Montréal,Jean Talon Market,Marché,,https://www.google.com/maps/place/Jean+Talon+Market/data=!4m2!3m1!1s0x4cc919136130849d:0x5c1098d838d87981
Canada,Montréal,Les Madeleines d'Emilie,Pâtisserie,,https://www.google.com/maps/place/Les+Madeleines+d'Emilie/data=!4m2!3m1!1s0x4cc91bce79546241:0x2e978acb941958f4
Canada,Montréal,Maison Privée Vieux-Montréal,Restaurant,,https://www.google.com/maps/place/Maison+Priv%C3%A9e+Vieux-Montr%C3%A9al/data=!4m2!3m1!1s0x4cc91a59eaeabb75:0xed19c7d489778933
Canada,Montréal,Mont éclair,Pâtisserie,,https://www.google.com/maps/place/Mont+%C3%A9clair/data=!4m2!3m1!1s0x4cc91b582646ff0d:0xe08530f4cc615acd
Canada,Montréal,Montréal Marriott Château Champlain,Hôtel,,https://www.google.com/maps/place/Montr%C3%A9al+Marriott+Ch%C3%A2teau+Champlain/data=!4m2!3m1!1s0x4cc91a5cd9b30003:0xe6d5b1d51a39f768
Canada,Montréal,Olive et Gourmando,À découvrir,,https://www.google.com/maps/place/Olive+et+Gourmando/data=!4m2!3m1!1s0x4cc91a5902615863:0x8bd5e7b9b0be142a
Canada,Montréal,Pizzéria NO.900 - Quartier des spectacles,Restaurant,,https://www.google.com/maps/place/Pizz%C3%A9ria+NO.900+-+Quartier+des+spectacles/data=!4m2!3m1!1s0x4cc91b83dec09c93:0x91cc67e5a4a7f8e0
Canada,Montréal,ROYALMOUNT,Boutique & culture,,https://www.google.com/maps/place/ROYALMOUNT/data=!4m2!3m1!1s0x4cc919ef0dbabb0d:0x51eacfe1d8a038eb
Canada,Montréal,Rage: Axe Throwing,Sport & plein air,,https://www.google.com/maps/place/Rage:+Axe+Throwing+%7C+Lancer+de+haches/data=!4m2!3m1!1s0x4cc91bb26d4783af:0x3c8dd2986f5a61a2
Canada,Montréal,Royale Ginette,À découvrir,,https://www.google.com/maps/place/Royale+Ginette/data=!4m2!3m1!1s0x4cc91993ca5abd6b:0x69b8478a2891ed22
Canada,Montréal,Sora 45,Restaurant,,https://www.google.com/maps/place/Sora+45/data=!4m2!3m1!1s0x4cc91b6b474bb275:0x3487525a36f4dd38
Canada,Montréal,Terrasse Belvu,Restaurant,,https://www.google.com/maps/place/Terrasse+Belvu/data=!4m2!3m1!1s0x4cc91be5f9ad36e7:0x612b44540f35ceaf
Canada,Montréal,Terrasse Sur L'Auberge,Hôtel,,https://www.google.com/maps/place/Terrasse+Sur+L'Auberge/data=!4m2!3m1!1s0x4cc91a5652e9e895:0x72cb274af1a52952
Canada,Montréal,"The Ritz-Carlton, Montreal",Hôtel,,"https://www.google.com/maps/place/The+Ritz-Carlton,+Montreal/data=!4m2!3m1!1s0x4cc91a40f7f00c21:0x4955974bc6dae998"
Canada,Montréal,Un Instant en Provence,Restaurant,,https://www.google.com/maps/place/Un+Instant+en+Provence/data=!4m2!3m1!1s0x4cc911bd44aa9c27:0xc87613c3bf87d7ad
Canada,Montréal,"Vogue Hotel Montreal Downtown, Curio Collection by Hilton",Hôtel,,"https://www.google.com/maps/place/Vogue+Hotel+Montreal+Downtown,+Curio+Collection+by+Hilton/data=!4m2!3m1!1s0x4cc91befb64b89c1:0x102baa91ce35105"
Canada,Montréal,sky internet cafe,Café,,https://www.google.com/maps/place/sky+internet+cafe/data=!4m2!3m1!1s0x4cc9171918091dd1:0x1fbe6856526d93b5
Canada,Québec,Sentiers du Moulin,Sport & plein air,,https://www.google.com/maps/place/Sentiers+du+Moulin/data=!4m2!3m1!1s0x4cb8a5aab227c5a7:0xf60fdc96dbe3269d
France,Auvergne,La Cave de Marcel,À découvrir,,https://www.google.com/maps/place/La+Cave+de+Marcel/data=!4m2!3m1!1s0x47f7cf32d9b25b8b:0xb2faa403ceb513d8
France,Île-de-France,La Grande Épicerie de Paris,Marché,,https://www.google.com/maps/place/La+Grande+%C3%89picerie+de+Paris/data=!4m2!3m1!1s0x47e671d310c34f03:0x7518ff5f76e8042b
France,Île-de-France,Marché International de Rungis,Marché,,https://www.google.com/maps/place/March%C3%A9+International+de+Rungis/data=!4m2!3m1!1s0x47e6751c4525a8a3:0x1b0964ee3aa649c3
Malte,Malte,Corinthia St George's Bay,Hôtel,,https://www.google.com/maps/place/Corinthia+St+George's+Bay/data=!4m2!3m1!1s0x130e456de64b489f:0x63206b35bcd037e6
Malte,Malte,Cynergi,À découvrir,,https://www.google.com/maps/place/Cynergi/data=!4m2!3m1!1s0x130e456918dd3c39:0xac03d26329ede46f
Malte,Malte,Gozo Pride Tours,Sport & plein air,,https://www.google.com/maps/place/Gozo+Pride+Tours/data=!4m2!3m1!1s0x130e4b16b50ad5ef:0xdbf7899ce39a3256
Malte,Malte,H Hotel & SPA,Hôtel,,https://www.google.com/maps/place/H+Hotel+%26+SPA/data=!4m2!3m1!1s0x130e45694fafa6e1:0xbdd7cbb1b39e50bd
Malte,Malte,Hilton Malta,Hôtel,,https://www.google.com/maps/place/Hilton+Malta/data=!4m2!3m1!1s0x130e456b01562117:0xcc50d0fd1b403a4
Malte,Malte,Hyatt Regency Malta,Hôtel,,https://www.google.com/maps/place/Hyatt+Regency+Malta/data=!4m2!3m1!1s0x130e45e3d7d0868f:0xaff81a8194d8b4ca
Malte,Malte,InterContinental Malta by IHG,Hôtel,,https://www.google.com/maps/place/InterContinental+Malta+by+IHG/data=!4m2!3m1!1s0x130e45693fbd5b83:0x421c0e533c95dbf0
Malte,Malte,Malta Marriott Resort & Spa,Hôtel,,https://www.google.com/maps/place/Malta+Marriott+Resort+%26+Spa/data=!4m2!3m1!1s0x130e455cfecafda5:0xc64dbf11c76fae29
Malte,Malte,"Radisson Blu Resort, St. Julian's",Hôtel,,"https://www.google.com/maps/place/Radisson+Blu+Resort,+St.+Julian's/data=!4m2!3m1!1s0x130e45720baa0821:0x59f20c4b36b0f744"
Malte,Malte,"The Westin Dragonara Resort, Malta",Hôtel,,"https://www.google.com/maps/place/The+Westin+Dragonara+Resort,+Malta/data=!4m2!3m1!1s0x130e4f05e703882f:0x59e7538d23884899"
Malte,Malte,"be.Hotel, St Julian's, Malta.",Hôtel,,"https://www.google.com/maps/place/be.Hotel,+St+Julian's,+Malta./data=!4m2!3m1!1s0x130e456934578929:0xd9be14ea32c5e8c2"
Maroc,Maroc,Cappuccino,À découvrir,,https://www.google.com/maps/place/Cappuccino/data=!4m2!3m1!1s0xd0c7f8f599d9c79:0x4eabac8811b3dc51
États-Unis,Pennsylvanie,Woodward,Sport & plein air,,https://www.google.com/maps/place/Woodward/data=!4m2!3m1!1s0x89cedd575473105d:0xefabb014cfd8847f
